#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
qgwt4htxx0hlxcqgqgwt4hg4h0h9j3ye,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 08:10:49,2020-07-23 08:12:17,790d5eaeef,
v6um0n8lmr9shdtipce82v6um00bhbtr,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 08:07:53,2020-07-23 08:09:46,cbbecea795,
gv969k01ie3pyywgv9692ati2h7kt2k9,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 08:07:20,2020-07-23 08:08:35,f77c7b736f,
tbi8t3br2iz4krxg7bx9tbi86u5yragw,Bottle bank,1,2,2,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-07-23 08:04:52,2020-07-23 08:06:38,97aedce969,
e46eeclvxgk31qj4ce460o3slxazwed9,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,1,1,2,1,13,2020-07-23 08:04:35,2020-07-23 08:06:22,4f85868462,
0b8nugay32yxcnak10b8nu6metzn0evz,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 08:04:00,2020-07-23 08:05:30,88e6a11088,
5ewc4fucvbsl18ta5ewcquvmv68yj0jh,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 07:57:46,2020-07-23 08:00:15,c6f3269da2,
c47wojqhd8pb1q88zc47wfc79qw347b3,Bottle bank,1,1,2,Battery bank,1,2,1,2,2,1,1,1,2,1,12,2020-07-23 07:51:15,2020-07-23 07:53:32,b4c1b9dbef,
810p0y9ansoz2azfqbrp810p0ud8vilf,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 07:51:19,2020-07-23 07:53:30,a7e1afd256,
n3iic26wpflp4vpmay2kfn3iicenpt9h,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-23 07:49:54,2020-07-23 07:52:23,80eb12726f,
uke5ciw5rbj6x11ukejbtxat8zppjbos,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,2,1,2,1,14,2020-07-23 07:47:44,2020-07-23 07:49:44,b5c4dd2a48,
z84mh40xcnoba8cr96z84hog6pvxkg8u,Bottle bank,1,2,2,Battery bank,1,1,1,2,2,1,1,1,2,1,12,2020-07-23 07:47:08,2020-07-23 07:48:40,0754cd598a,
82uwrw9vio247sekm182uwrw9n2q6qo0,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 07:45:20,2020-07-23 07:47:58,5e87761f53,
iw1bp3ledzgvmiw1bpc2t80ono0bdyhc,Bottle bank,1,1,1,Battery bank,1,1,1,1,1,1,2,1,2,1,13,2020-07-23 07:38:15,2020-07-23 07:40:41,5efbac188b,
rkumvayw72u7o5x7vu8rkumv0bskt7vj,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-23 07:37:49,2020-07-23 07:39:25,950ac4e3c5,
xoe5v3d2slw5k8tgxoe5v3d2juajpudp,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 07:33:55,2020-07-23 07:36:07,2e5a7b88f5,
tr06hh9yvhmr8cytr06h7387eo4b3850,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,1,1,2,1,13,2020-07-23 07:30:00,2020-07-23 07:32:48,198df423dd,
t820s9bzq2ypw4s5m8t820s9ynov1jk4,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,2,2,1,13,2020-07-23 07:24:05,2020-07-23 07:25:35,ae07469fa3,
i6eagaco2wnm54lli6eavnj8polvskk8,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 07:19:51,2020-07-23 07:21:19,eb321f8555,
2iir5a00tqsxo8r1bmcq32iir5a00wl3,Bottle bank,1,1,2,Battery bank,1,1,1,2,1,1,2,1,2,1,13,2020-07-23 07:12:22,2020-07-23 07:15:33,64a4c307ef,
3yo687flqentrn41cwdfe9gg3yo687f8,Bottle bank,1,1,1,Battery bank,1,2,1,2,2,1,2,2,2,1,11,2020-07-23 07:07:24,2020-07-23 07:10:02,d0bdb574d3,
xetwi0r25r00f1j4j4jhjhyxetwi0rhj,Bottle bank,1,2,1,Battery bank,2,1,1,2,2,1,2,1,2,1,11,2020-07-23 07:02:04,2020-07-23 07:04:03,0f839a2161,
l6jw5q0dk20rcbmk985ll6jw5qx9d5hu,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-23 06:53:49,2020-07-23 06:55:17,8a50e7fda2,
vqkvhs19r8q571swdavqkvhjm20a7xam,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-07-23 06:51:33,2020-07-23 06:53:42,307593a898,
nehu48igco1qyh668nehu48tzhsp08z7,Bottle bank,1,1,2,Battery bank,2,2,1,2,2,1,1,1,2,1,11,2020-07-23 06:49:35,2020-07-23 06:52:13,7e02b7a82a,
zqwu2ae1jges0gu2pd7zqwu2awvuul3k,Bottle bank,1,1,2,Battery bank,2,1,1,1,2,1,1,1,2,1,13,2020-07-23 06:46:44,2020-07-23 06:49:08,692d54ebf1,
8r16yav8rp4v6j4t0d8rw25c9mgel55o,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-23 06:46:02,2020-07-23 06:48:11,f0b324f3df,
brgy6lz7gcy3scedtrfmnbrgy6re3s8b,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,1,1,2,1,13,2020-07-23 06:45:09,2020-07-23 06:46:53,566cef02d1,
bigp417skdfv38zbigp3gk5fkn9cnf3y,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,1,1,13,2020-07-23 06:43:32,2020-07-23 06:45:42,e452a71c76,
