#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
hqasi5e1h5f5ua3hqas3lf87jqrqas3d,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:56:29,,2020-06-04 18:57:40,ccd4abb594
ru1f7hilyb20vl4x3r7fpru1f7hilgax,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:54:37,,2020-06-04 18:57:15,691f1caa48
3ejb9gwucb9p5gfyp2g403ejb9gf25eg,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:54:41,,2020-06-04 18:56:53,291b99858a
pfjt59x6gibjdyim42bpfjt5xuugxqq8,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:54:40,,2020-06-04 18:56:34,cbbecea795
xcra9llfx0t74kobxcra9l3j880v019e,Bottle bank,1,1,2,Battery bank,1,2,1,2,2,1,1,1,2,1,12,2020-06-04 18:54:19,,2020-06-04 18:56:28,3601cc6937
b2zf5wlb2ijbg6wbb2zfesfwwoom4dw7,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:53:36,,2020-06-04 18:56:08,2257dad5f3
ix7rtw3sskxix7ax8yzbugpbxky5ax8y,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-06-04 18:54:31,,2020-06-04 18:56:06,5ff6908cdc
4zl0812j0twhpmuuq8zeuo4zl0812ze5,Bottle bank,1,2,1,Battery bank,1,2,2,2,2,1,2,1,2,1,10,2020-06-04 18:53:37,,2020-06-04 18:56:06,c5631ea020
zdfzeshljb17dbny4gzdfzepxc1bid3y,Bottle bank,1,1,2,Battery bank,1,1,2,2,1,1,2,1,2,1,12,2020-06-04 18:53:29,,2020-06-04 18:55:11,e8d0743e11
1mxxl4zg5qiwc24k1mx7yq1q97a7e0ud,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,1,14,2020-06-04 18:52:17,,2020-06-04 18:54:59,4f20cf2c80
